transaction_date,sales
2023-01-01,377
2023-01-02,494
2023-01-03,334
2023-01-04,271
2023-01-05,482
2023-01-06,399
2023-01-07,155
2023-01-08,212
2023-01-09,187
2023-01-10,165
2023-01-11,254
2023-01-12,390
2023-01-13,340
2023-01-14,139
2023-01-15,417
2023-01-16,483
2023-01-17,389
2023-01-18,353
2023-01-19,322
2023-01-20,196
2023-01-21,305
2023-01-22,363
2023-01-23,215
2023-01-24,390
2023-01-25,148
2023-01-26,417
2023-01-27,424
2023-01-28,150
2023-01-29,497
2023-01-30,305
2023-01-31,486
2023-02-01,242
2023-02-02,477
2023-02-03,477
2023-02-04,392
2023-02-05,489
2023-02-06,337
2023-02-07,327
2023-02-08,450
2023-02-09,353
2023-02-10,244
2023-02-11,226
2023-02-12,498
2023-02-13,494
2023-02-14,292
2023-02-15,413
2023-02-16,143
2023-02-17,275
2023-02-18,395
2023-02-19,494
2023-02-20,279
2023-02-21,180
2023-02-22,416
2023-02-23,440
2023-02-24,458
2023-02-25,300
2023-02-26,441
2023-02-27,373
2023-02-28,449
2023-03-01,236
2023-03-02,344
2023-03-03,414
2023-03-04,360
2023-03-05,282
2023-03-06,206
2023-03-07,165
2023-03-08,166
2023-03-09,422
2023-03-10,412
2023-03-11,317
2023-03-12,428
2023-03-13,152
2023-03-14,114
2023-03-15,372
2023-03-16,475
2023-03-17,364
2023-03-18,181
2023-03-19,327
2023-03-20,125
2023-03-21,305
2023-03-22,206
2023-03-23,266
2023-03-24,339
2023-03-25,136
2023-03-26,316
2023-03-27,166
2023-03-28,280
2023-03-29,247
2023-03-30,315
2023-03-31,370
2023-04-01,303
2023-04-02,467
2023-04-03,322
2023-04-04,303
2023-04-05,316
2023-04-06,477
2023-04-07,449
2023-04-08,345
2023-04-09,306
2023-04-10,187
